name,code,link,source,color_hex,color_r,color_g,color_b
Courtyard Café,07A-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07A-4|,clarkkensington,#a06a61,160,106,97
Falling in Love,07B-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07B-1|,clarkkensington,#f0e1de,240,225,222
Pink Rose Petals,07B-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07B-2|,clarkkensington,#ecc7c7,236,199,199
Elegant Elements,07B-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07B-4|,clarkkensington,#ca8985,202,137,133
Of the Moment,07B-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07B-6|,clarkkensington,#ae5f58,174,95,88
Spicy Red,07B-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07B-7|,clarkkensington,#9b4336,155,67,54
Bahamian Conch,07C-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-1|,clarkkensington,#f4e7e8,244,231,232
Apple Crisp Bloom,07C-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-2|,clarkkensington,#f4dddb,244,221,219
Surprise Party,07C-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-3|,clarkkensington,#f3c2c0,243,194,192
Destiny Sings,07C-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-4|,clarkkensington,#de938f,222,147,143
Aromatic Blend,07C-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-5|,clarkkensington,#c06d6a,192,109,106
Jagged Heart,07C-6,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-6|,clarkkensington,#ae5756,174,87,86
Tango Red,07C-7,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07C-7|,clarkkensington,#ae3839,174,56,57
Totally Charming,07D-1,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07D-1|,clarkkensington,#f3e7e8,243,231,232
Marry Me,07D-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07D-2|,clarkkensington,#f8e1e2,248,225,226
Cheerful Pink,07D-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07D-3|,clarkkensington,#f4b2b9,244,178,185
Camellia Blossom,07D-4,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07D-4|,clarkkensington,#e97b80,233,123,128
Cayenne,07D-5,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:07D-5|,clarkkensington,#bd3c3c,189,60,60
Simply Elegant,08A-2,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:08A-2|,clarkkensington,#e2bbac,226,187,172
Discovery,08A-3,https://www.acehardware.com/thepaintstudio/colors#sortby:originalorder|brand:clarkkensington|palette:clarkkensington|colorfamily:red|colorchip:08A-3|,clarkkensington,#d5a697,213,166,151
